symbol,train_pnl_pct,test_pnl_pct,trades,win_rate,max_drawdown,sharpe,min_price,max_price,grid_levels,sell_pct
RPLUSDC,4.394,0.6147,10,1.0,0.041054,0.6391,1.47,1.58,5,3.0
TONUSDC,5.8715,0.6043,44,1.0,0.05205,1.003,1.308,1.396,15,3.0
HOMEUSDC,5.243,0.6017,32,1.0,0.031453,1.0415,0.02732,0.02858,5,1.0
XVGUSDC,7.5787,0.583,22,1.0,0.054503,0.8597,0.005692,0.005957,5,3.0
BTCUSDC,4.1075,0.535,9,1.0,0.020561,0.9682,67386.83,70240.0,5,5.0
MINAUSDC,6.8487,0.484,30,1.0,0.04962,0.6386,0.0648,0.0664,5,2.0
LAUSDC,15.2557,0.4771,33,1.0,0.04365,1.6483,0.2234,0.303,5,3.0
PUNDIXUSDC,4.9252,0.4702,24,1.0,0.036224,1.0613,0.1595,0.1672,5,1.0
FLUXUSDC,16.1604,0.3994,38,1.0,0.117161,1.0901,0.0714,0.0746,5,1.0
KAITOUSDC,16.1018,0.3263,58,1.0,0.076329,1.2788,0.3106,0.3225,15,5.0
ASTERUSDC,9.0334,0.0,28,1.0,0.041714,1.3286,0.554,0.691,5,3.0
BERAUSDC,21.5963,0.0,100,1.0,0.084256,1.3035,0.445,0.521,15,5.0
COWUSDC,8.725,0.0,14,1.0,0.057304,1.2624,0.1598,0.1796,5,5.0
HEMIUSDC,6.0143,0.0,19,1.0,0.053638,0.7311,0.01128,0.0122,5,5.0
MANTAUSDC,12.6294,0.0,17,1.0,0.09563,1.0544,0.0659,0.0768,5,5.0
NOMUSDC,8.929,0.0,73,1.0,0.057822,0.7854,0.00601,0.00618,15,5.0
SENTUSDC,4.7984,0.0,29,1.0,0.052702,0.7679,0.02606,0.02921,15,5.0
WCTUSDC,27.4557,0.0,36,1.0,0.091017,1.5191,0.0567,0.0605,5,5.0
XPLUSDC,7.4806,0.0,30,1.0,0.031749,1.1247,0.0793,0.0838,5,2.0
YBUSDC,9.3021,0.0,16,1.0,0.067061,1.15,0.1591,0.1685,5,5.0
DOLOUSDC,7.5343,-0.2095,52,1.0,0.029583,1.1464,0.03344,0.03731,5,1.0
ESPUSDC,9.0254,-0.2761,15,1.0,0.055941,1.134,0.05856,0.07786,5,5.0
ZROUSDC,16.7405,-1.0606,31,1.0,0.096362,1.3221,1.611,2.252,5,5.0
MEUSDC,10.5314,-1.3808,20,1.0,0.036882,1.4368,0.1328,0.1793,5,3.0
ENSOUSDC,4.1378,-1.4748,17,1.0,0.045269,0.6822,1.208,1.346,5,3.0
GUNUSDC,11.6294,-5.1913,35,1.0,0.032836,1.4532,0.0278,0.02902,5,3.0
